notes,date,site_name,inv_lvl,forest_type,treatment,rep,layer,species,growth_stage,ecol_group,length_mm,LN_length,calc_LN_biomass,biomass_AFDg,area_m2
,9/21/2019,C2AR1,2,C,C2A,R1,org,Dendrobaena octaedra,adult,epigeic,19,2.944438979,-5.110986631,0.00603013,0.080425
,9/21/2019,C2AR1,2,C,C2A,R1,org,Dendrobaena octaedra,juv,epigeic,12,2.48490665,-6.322543618,0.001795371,0.080425
cracked cap,9/21/2019,C2AR1,2,C,C2A,R1,min,Dendrobaena octaedra,juv,epigeic,18,2.890371758,-5.25353486,0.005229002,0.080425
missing head,9/21/2019,C2AR1,2,C,C2A,R1,min,Dendrobaena octaedra,juv,epigeic,22,3.091042453,-4.724466572,0.008875447,0.080425
,9/21/2019,C2AR1,2,C,C2A,R1,min,Dendrobaena octaedra,juv,epigeic,15,2.708050201,-5.734225645,0.003233385,0.080425
,9/21/2019,C2AR1,2,C,C2A,R1,min,Dendrobaena octaedra,juv,epigeic,10,2.302585093,-6.803234402,0.001110179,0.080425
,9/21/2019,C2AR1,2,C,C2A,R1,min,Aporrectodea species,juv,epigeic,22,3.091042453,-4.923628332,0.007272695,0.080425
,9/21/2019,C2AR1,2,C,C2A,R1,min,Aporrectodea species,juv,epigeic,15,2.708050201,-5.756023693,0.003163666,0.080425
,9/21/2019,C2AR2,2,C,C2A,R2,,Aporrectodea species,juv,endogeic,55,4.007333185,-2.932162055,0.053281716,0.080425
,9/21/2019,C2AR2,2,C,C2A,R2,,Dendrobaena octaedra,adult,epigeic,23,3.135494216,-4.6072695,0.009979029,0.080425
,9/21/2019,C2AR2,2,C,C2A,R2,,Dendrobaena octaedra,juv,epigeic,21,3.044522438,-4.847116593,0.007850983,0.080425
,9/21/2019,C2AR2,2,C,C2A,R2,,Dendrobaena octaedra,adult,epigeic,21,3.044522438,-4.847116593,0.007850983,0.080425
,9/21/2019,C2AR2,2,C,C2A,R2,,Dendrobaena octaedra,juv,epigeic,16,2.772588722,-5.564069834,0.003833144,0.080425
,9/21/2019,C2AR2,2,C,C2A,R2,,Dendrobaena octaedra,juv,epigeic,25,3.218875825,-4.387433888,0.012432592,0.080425
,9/21/2019,C2AR2,2,C,C2A,R2,,Dendrobaena octaedra,adult,epigeic,17,2.833213344,-5.404233018,0.004497503,0.080425
missing tail,9/21/2019,C2AR2,2,C,C2A,R2,,Dendrobaena octaedra,adult ,epigeic,12,2.48490665,-6.322543618,0.001795371,0.080425
,9/21/2019,C2AR2,2,C,C2A,R2,,Dendrobaena octaedra,juv,epigeic,12,2.48490665,-6.322543618,0.001795371,0.080425
,9/21/2019,C2AR3,2,C,C2A,R3,org,Dendrobaena octaedra,adult,epigeic,21,3.044522438,-4.847116593,0.007850983,0.080425
,9/21/2019,C2AR3,2,C,C2A,R3,min,Aporrectodea species,juv,endogeic,84,4.430816799,-2.013535096,0.133515848,0.080425
,9/21/2019,C2AR3,2,C,C2A,R3,min,Aporrectodea species,juv,endogeic,76,4.33073334,-2.231016452,0.107419188,0.080425
,9/21/2019,C2AR3,2,C,C2A,R3,min,Aporrectodea species,juv,endogeic,67,4.204692619,-2.504902938,0.081683526,0.080425
,9/21/2019,C2AR3,2,C,C2A,R3,min,Apoorectodea caliginosa complex,adult,endogeic,56,4.025351691,-2.894610776,0.055320553,0.080425
,9/21/2019,C2AR3,2,C,C2A,R3,min,Dendrobaena octaedra,juv,epigeic,19,2.944438979,-5.110986631,0.00603013,0.080425
,9/21/2019,C2AR3,2,C,C2A,R3,min,Aporrectodea species,juv,endogeic,19,2.944438979,-5.242256323,0.005288311,0.080425
,10/4/2019,C2BR1,2,C,C2B,R1,org,Dendrobaena octaedra,juv,epigeic,31,3.433987204,-3.820292735,0.021921383,0.080425
,10/4/2019,C2BR1,2,C,C2B,R1,org,Dendrobaena octaedra,juv,epigeic,19,2.944438979,-5.110986631,0.00603013,0.080425
,10/4/2019,C2BR1,2,C,C2B,R1,org,Dendrobaena octaedra,juv,epigeic,20,2.995732274,-4.975751861,0.006903327,0.080425
,10/4/2019,C2BR1,2,C,C2B,R1,min,Dendrobaena octaedra,juv,epigeic,21,3.044522438,-4.847116593,0.007850983,0.080425
,10/4/2019,C2BR1,2,C,C2B,R1,min,Dendrobaena octaedra,juv,epigeic,27,3.295836866,-4.184526103,0.015229421,0.080425
,10/4/2019,C2BR1,2,C,C2B,R1,min,Dendrobaena octaedra,juv,epigeic,21,3.044522438,-4.847116593,0.007850983,0.080425
,10/4/2019,C2BR1,2,C,C2B,R1,min,Dendrobaena octaedra,juv,epigeic,30,3.401197382,-3.906743103,0.020105877,0.080425
,10/4/2019,C2BR1,2,C,C2B,R1,min,Dendrobaena octaedra,juv,epigeic,21,3.044522438,-4.847116593,0.007850983,0.080425
missing part of lower body,10/4/2019,C2BR1,2,C,C2B,R1,min,Dendrobaena octaedra,juv,epigeic,16,2.772588722,-5.564069834,0.003833144,0.080425
missing head,10/4/2019,C2BR1,2,C,C2B,R1,min,Dendrobaena octaedra,juv,epigeic,25,3.218875825,-4.387433888,0.012432592,0.080425
missing head,10/4/2019,C2BR1,2,C,C2B,R1,min,Dendrobaena octaedra,juv,epigeic,10,2.302585093,-6.803234402,0.001110179,0.080425
,10/4/2019,C2BR1,2,C,C2B,R1,min,Dendrobaena octaedra,juv,epigeic,16,2.772588722,-5.564069834,0.003833144,0.080425
,10/4/2019,C2BR1,2,C,C2B,R1,min,Dendrobaena octaedra,juv,epigeic,13,2.564949357,-6.111511019,0.002217198,0.080425
,10/4/2019,C2BR1,2,C,C2B,R1,min,Dendrobaena octaedra,juv,epigeic,12,2.48490665,-6.322543618,0.001795371,0.080425
,10/4/2019,C2BR1,2,C,C2B,R1,min,Dendrobaena octaedra,juv,epigeic,10,2.302585093,-6.803234402,0.001110179,0.080425
,10/4/2019,C2BR1,2,C,C2B,R1,min,Dendrobaena octaedra,juv,epigeic,11,2.397895273,-6.551949113,0.001427331,0.080425
,10/4/2019,C2BR2,2,C,C2B,R2,org,Dendrobaena octaedra,adult,epigeic,22,3.091042453,-4.724466572,0.008875447,0.080425
,10/4/2019,C2BR2,2,C,C2B,R2,min,Dendrobaena octaedra,juv,epigeic,27,3.295836866,-4.184526103,0.015229421,0.080425
,10/4/2019,C2BR2,2,C,C2B,R2,min,Dendrobaena octaedra,juv,epigeic,22,3.091042453,-4.724466572,0.008875447,0.080425
,10/4/2019,C2BR2,2,C,C2B,R2,min,Dendrobaena octaedra,juv,epigeic,19,2.944438979,-5.110986631,0.00603013,0.080425
,10/4/2019,C2BR2,2,C,C2B,R2,min,Dendrobaena octaedra,juv,epigeic,22,3.091042453,-4.724466572,0.008875447,0.080425
,10/4/2019,C2BR2,2,C,C2B,R2,min,Dendrobaena octaedra,adult,epigeic,28,3.33220451,-4.088642809,0.016761967,0.080425
,10/4/2019,C2BR2,2,C,C2B,R2,min,Dendrobaena octaedra,juv,epigeic,17,2.833213344,-5.404233018,0.004497503,0.080425
,10/4/2019,C2BR2,2,C,C2B,R2,min,Dendrobaena octaedra,juv,epigeic,19,2.944438979,-5.110986631,0.00603013,0.080425
